
 Symbol Table Format is:
 	Lexeme				Token			Line No			Attribute Value

   #include<stdio.h>                 Pre processor                   1                   0
              struct                       Keyword                   3                   1
              values                    Identifier                   3                   2
                   {                    Punctuator                   4                   3
                 int                       Keyword                   5                   4
                  cd                    Identifier                   5                   5
                   ;                    Punctuator                   5                   6
                   }                    Punctuator                   6                   7
                   ;                    Punctuator                   6                   6
                void                       Keyword                   8                   8
                main                    Identifier                   8                   9
                   (                    Punctuator                   8                  10
                   )                    Punctuator                   8                  11
                   {                    Punctuator                   9                   3
     long long float                       Keyword                  10                  12
                   d                    Identifier                  10                  13
                   ,                    Punctuator                  10                  14
                   c                    Identifier                  10                  15
                   =                      Operator                  10                  16
                   0                      Constant                  10                  17
                   ;                    Punctuator                  10                   6
              struct                       Keyword                  11                   1
              values                    Identifier                  11                   2
                   v                    Identifier                  11                  18
                   ;                    Punctuator                  11                   6
                 int                       Keyword                  12                   4
                   i                    Identifier                  12                  19
                   =                      Operator                  12                  16
                   3                      Constant                  12                  20
                   ;                    Punctuator                  12                   6
                v.cd                    Identifier                  13                  21
                   =                      Operator                  13                  16
                   5                      Constant                  13                  22
                   ;                    Punctuator                  13                   6
               scanf                    Identifier                  14                  23
                   (                    Punctuator                  14                  10
              "%llf"                        String                  14                  24
                   ,                    Punctuator                  14                  14
                   &                      Operator                  14                  25
                   d                    Identifier                  14                  13
                   )                    Punctuator                  14                  11
                   ;                    Punctuator                  14                   6
               while                       Keyword                  15                  26
                   (                    Punctuator                  15                  10
                   d                    Identifier                  15                  13
                  --                      Operator                  15                  27
                   )                    Punctuator                  15                  11
                   {                    Punctuator                  16                   3
                   c                    Identifier                  17                  15
                  ++                      Operator                  17                  28
                   ;                    Punctuator                  17                   6
                   }                    Punctuator                  18                   7
               while                       Keyword                  19                  26
                   (                    Punctuator                  19                  10
                   i                    Identifier                  19                  19
                  --                      Operator                  19                  27
                   )                    Punctuator                  19                  11
                   {                    Punctuator                  20                   3
               while                       Keyword                  21                  26
                   (                    Punctuator                  21                  10
                   d                    Identifier                  21                  13
                   >                      Operator                  21                  29
                   0                      Constant                  21                  17
                   )                    Punctuator                  21                  11
                   {                    Punctuator                  22                   3
                   d                    Identifier                  23                  13
                  --                      Operator                  23                  27
                   ;                    Punctuator                  23                   6
                v.cd                    Identifier                  24                  21
                  ++                      Operator                  24                  28
                   ;                    Punctuator                  24                   6
                   }                    Punctuator                  25                   7
                   }                    Punctuator                  26                   7
              printf                    Identifier                  28                  30
                   (                    Punctuator                  28                  10
              "%llf"                        String                  28                  24
                   ,                    Punctuator                  28                  14
                   c                    Identifier                  28                  15
                   )                    Punctuator                  28                  11
                   ;                    Punctuator                  28                   6
                   }                    Punctuator                  29                   7
