
 Symbol Table Format is:
 	Lexeme				Token			Attribute Value

   #include<stdio.h>                 Pre processor                   0
                Void                    Identifier                   1
                main                    Identifier                   2
                   (                    Punctuator                   3
                   )                    Punctuator                   4
                   {                    Punctuator                   5
                char                       Keyword                   6
                   a                    Identifier                   7
                  10                      Constant                   8
                   =                      Operator                   9
                   ;                    Punctuator                  10
                 int                       Keyword                  11
              printf              Inbuilt Function                  12
                   }                    Punctuator                  13
